A	196	242	3	881250949
A	186	302	3	891717742
A	22	377	1	878887116
A	244	51	2	880606923
A	166	346	1	886397596
A	298	474	4	884182806
A	115	265	2	881171488
A	253	465	5	891628467
A	305	451	3	886324817
A	6	86	3	883603013
A	62	257	2	879372434
A	286	1014	5	879781125
A	200	222	5	876042340
A	210	40	3	891035994
A	224	29	3	888104457
A	303	785	3	879485318
A	122	387	5	879270459
A	194	274	2	879539794
A	291	1042	4	874834944
A	234	1184	2	892079237
A	119	392	4	886176814
A	167	486	4	892738452
A	299	144	4	877881320
A	291	118	2	874833878
A	308	1	4	887736532
A	95	546	2	879196566
A	38	95	5	892430094
A	102	768	2	883748450
A	63	277	4	875747401
A	160	234	5	876861185
A	50	246	3	877052329
A	301	98	4	882075827
A	225	193	4	879539727
A	290	88	4	880731963
A	97	194	3	884238860
A	157	274	4	886890835
A	181	1081	1	878962623
A	278	603	5	891295330
A	276	796	1	874791932
A	7	32	4	891350932
A	10	16	4	877888877
A	284	304	4	885329322
A	201	979	2	884114233
A	276	564	3	874791805
A	287	327	5	875333916
A	246	201	5	884921594
A	242	1137	5	879741196
A	249	241	5	879641194
A	99	4	5	886519097
A	178	332	3	882823437
A	251	100	4	886271884
A	81	432	2	876535131
A	260	322	4	890618898
A	25	181	5	885853415
A	59	196	5	888205088
A	72	679	2	880037164
A	87	384	4	879877127
A	290	143	5	880474293
A	42	423	5	881107687
A	292	515	4	881103977
A	115	20	3	881171009
A	20	288	1	879667584
A	201	219	4	884112673
A	13	526	3	882141053
A	246	919	4	884920949
A	138	26	5	879024232
A	167	232	1	892738341
A	60	427	5	883326620
A	57	304	5	883698581
A	223	274	4	891550094
A	189	512	4	893277702
A	243	15	3	879987440
A	92	1049	1	890251826
A	246	416	3	884923047
A	194	165	4	879546723
A	241	690	2	887249482
A	178	248	4	882823954
A	254	1444	3	886475558
A	293	5	3	888906576
A	127	229	5	884364867
A	225	237	5	879539643
A	299	229	3	878192429
A	225	480	5	879540748
A	276	54	3	874791025
A	291	144	5	874835091
A	222	366	4	878183381
A	267	518	5	878971773
A	42	403	3	881108684
A	11	111	4	891903862
A	95	625	4	888954412
A	8	338	4	879361873
A	162	25	4	877635573
A	87	1016	4	879876194
A	279	154	5	875296291
A	145	275	2	885557505
A	119	1153	5	874781198
A	62	498	4	879373848
A	62	382	3	879375537
A	28	209	4	881961214
A	135	23	4	879857765
A	32	294	3	883709863
A	90	382	5	891383835
A	286	208	4	877531942
A	293	685	3	888905170
A	216	144	4	880234639
A	166	328	5	886397722
A	250	496	4	878090499
A	271	132	5	885848672
A	160	174	5	876860807
A	265	118	4	875320714
A	198	498	3	884207492
A	42	96	5	881107178
A	168	151	5	884288058
A	110	307	4	886987260
A	58	144	4	884304936
A	90	648	4	891384754
A	271	346	4	885844430
A	62	21	3	879373460
A	279	832	3	881375854
A	237	514	4	879376641
A	94	789	4	891720887
A	128	485	3	879966895
A	298	317	4	884182806
A	44	195	5	878347874
A	264	200	5	886122352
A	194	385	2	879524643
A	72	195	5	880037702
A	222	750	5	883815120
A	250	264	3	878089182
A	41	265	3	890687042
A	224	245	3	888082216
A	82	135	3	878769629
A	262	1147	4	879791710
A	293	471	3	888904884
A	216	658	3	880245029
A	250	140	3	878092059
A	59	23	5	888205300
A	286	379	5	877533771
A	244	815	4	880605185
A	7	479	4	891352010
A	174	368	1	886434402
A	87	274	4	879876734
A	194	1211	2	879551380
A	82	1134	2	884714402
A	13	836	2	882139746
A	13	272	4	884538403
A	244	756	2	880605157
A	305	427	5	886323090
A	95	787	2	888954930
A	43	14	2	883955745
A	299	955	4	889502823
A	57	419	3	883698454
A	84	405	3	883452363
A	269	504	4	891449922
A	299	111	3	877878184
A	194	466	4	879525876
A	160	135	4	876860807
A	99	268	3	885678247
A	10	486	4	877886846
A	259	117	4	874724988
A	85	427	3	879456350
A	303	919	4	879467295
A	213	273	5	878870987
A	121	514	3	891387947
A	90	98	5	891383204
A	49	559	2	888067405
A	42	794	3	881108425
A	155	323	2	879371261
A	68	117	4	876973939
A	172	177	4	875537965
A	19	4	4	885412840
A	268	231	4	875744136
A	5	2	3	875636053
A	305	117	2	886324028
A	44	294	4	883612356
A	43	137	4	875975656
A	279	1336	1	875298353
A	80	466	5	887401701
A	254	164	4	886472768
A	298	281	3	884183336
A	279	1240	1	892174404
A	66	298	4	883601324
A	18	443	3	880130193
A	268	1035	2	875542174
A	99	79	4	885680138
A	13	98	4	881515011
A	26	258	3	891347949
A	7	455	4	891353086
A	222	755	4	878183481
A	200	673	5	884128554
A	119	328	4	876923913
A	213	172	5	878955442
A	276	322	3	874786392
A	94	1217	3	891723086
A	130	379	4	875801662
A	38	328	4	892428688
A	160	719	3	876857977
A	293	1267	3	888906966
A	26	930	2	891385985
A	130	216	4	875216545
A	92	1079	3	886443455
A	256	452	4	882164999
A	1	61	4	878542420
A	72	48	4	880036718
A	56	755	3	892910207
A	13	360	4	882140926
A	15	405	2	879455957
A	92	77	3	875654637
A	207	476	2	884386343
A	292	174	5	881105481
A	232	483	5	888549622
A	251	748	2	886272175
A	224	26	3	888104153
A	181	220	4	878962392
A	259	255	4	874724710
A	305	471	4	886323648
A	52	280	3	882922806
A	161	202	5	891170769
A	148	408	5	877399018
A	125	235	2	892838559
A	97	228	5	884238860
A	58	1098	4	884304936
A	83	234	4	887665548
A	90	347	4	891383319
A	272	178	5	879455113
A	194	181	3	879521396
A	125	478	4	879454628
A	110	688	1	886987605
A	299	14	4	877877775
A	151	10	5	879524921
A	269	127	4	891446165
A	6	14	5	883599249
A	54	106	3	880937882
A	303	69	5	879467542
A	16	944	1	877727122
A	301	790	4	882078621
A	276	1091	3	874793035
A	305	214	2	886323068
A	194	1028	2	879541148
A	91	323	2	891438397
A	87	554	4	879875940
A	294	109	4	877819599
A	286	171	4	877531791
A	200	318	5	884128458
A	229	328	1	891632142
A	178	568	4	882826555
A	303	842	2	879484804
A	62	65	4	879374686
A	207	591	3	876018608
A	92	172	4	875653271
A	301	401	4	882078040
A	36	339	5	882157581
A	70	746	3	884150257
A	63	242	3	875747190
A	28	201	3	881961671
A	279	68	4	875307407
A	250	7	4	878089716
A	14	98	3	890881335
